split,chrom,start,end,bin_size,n_bins
train,chr1,0,1000000,10000,100
train,chr1,1000000,2000000,10000,100
train,chr1,2000000,3000000,10000,100
train,chr1,3000000,4000000,10000,100
train,chr1,4000000,5000000,10000,100
train,chr1,5000000,6000000,10000,100
train,chr1,6000000,7000000,10000,100
train,chr1,7000000,8000000,10000,100
train,chr1,8000000,9000000,10000,100
train,chr1,9000000,10000000,10000,100
train,chr1,10000000,11000000,10000,100
train,chr1,11000000,12000000,10000,100
train,chr1,12000000,13000000,10000,100
train,chr1,13000000,14000000,10000,100
train,chr1,14000000,15000000,10000,100
train,chr1,15000000,16000000,10000,100
train,chr1,16000000,17000000,10000,100
train,chr1,17000000,18000000,10000,100
train,chr1,18000000,19000000,10000,100
train,chr1,19000000,20000000,10000,100
train,chr1,20000000,21000000,10000,100
train,chr1,21000000,22000000,10000,100
train,chr1,22000000,23000000,10000,100
train,chr1,23000000,24000000,10000,100
train,chr1,24000000,25000000,10000,100
train,chr1,25000000,26000000,10000,100
train,chr1,26000000,27000000,10000,100
train,chr1,27000000,28000000,10000,100
train,chr1,28000000,29000000,10000,100
train,chr1,29000000,30000000,10000,100
train,chr1,30000000,31000000,10000,100
train,chr1,31000000,32000000,10000,100
train,chr1,32000000,33000000,10000,100
train,chr1,33000000,34000000,10000,100
train,chr1,34000000,35000000,10000,100
train,chr1,35000000,36000000,10000,100
train,chr1,36000000,37000000,10000,100
train,chr1,37000000,38000000,10000,100
train,chr1,38000000,39000000,10000,100
train,chr1,39000000,40000000,10000,100
train,chr1,40000000,41000000,10000,100
train,chr1,41000000,42000000,10000,100
train,chr1,42000000,43000000,10000,100
train,chr1,43000000,44000000,10000,100
train,chr1,44000000,45000000,10000,100
train,chr1,45000000,46000000,10000,100
train,chr1,46000000,47000000,10000,100
train,chr1,47000000,48000000,10000,100
train,chr1,48000000,49000000,10000,100
train,chr1,49000000,50000000,10000,100
train,chr1,50000000,51000000,10000,100
train,chr1,51000000,52000000,10000,100
train,chr1,52000000,53000000,10000,100
train,chr1,53000000,54000000,10000,100
train,chr1,54000000,55000000,10000,100
train,chr1,55000000,56000000,10000,100
train,chr1,56000000,57000000,10000,100
train,chr1,57000000,58000000,10000,100
train,chr1,58000000,59000000,10000,100
train,chr1,59000000,60000000,10000,100
train,chr1,60000000,61000000,10000,100
train,chr1,61000000,62000000,10000,100
train,chr1,62000000,63000000,10000,100
train,chr1,63000000,64000000,10000,100
train,chr1,64000000,65000000,10000,100
train,chr1,65000000,66000000,10000,100
train,chr1,66000000,67000000,10000,100
train,chr1,67000000,68000000,10000,100
train,chr1,68000000,69000000,10000,100
train,chr1,69000000,70000000,10000,100
train,chr1,70000000,71000000,10000,100
train,chr1,71000000,72000000,10000,100
train,chr1,72000000,73000000,10000,100
train,chr1,73000000,74000000,10000,100
train,chr1,74000000,75000000,10000,100
train,chr1,75000000,76000000,10000,100
train,chr1,76000000,77000000,10000,100
train,chr1,77000000,78000000,10000,100
train,chr1,78000000,79000000,10000,100
train,chr1,79000000,80000000,10000,100
train,chr1,80000000,81000000,10000,100
train,chr1,81000000,82000000,10000,100
train,chr1,82000000,83000000,10000,100
train,chr1,83000000,84000000,10000,100
train,chr1,84000000,85000000,10000,100
train,chr1,85000000,86000000,10000,100
train,chr1,86000000,87000000,10000,100
train,chr1,87000000,88000000,10000,100
train,chr1,88000000,89000000,10000,100
train,chr1,89000000,90000000,10000,100
train,chr1,90000000,91000000,10000,100
train,chr1,91000000,92000000,10000,100
train,chr1,92000000,93000000,10000,100
train,chr1,93000000,94000000,10000,100
train,chr1,94000000,95000000,10000,100
train,chr1,95000000,96000000,10000,100
train,chr1,96000000,97000000,10000,100
train,chr1,97000000,98000000,10000,100
train,chr1,98000000,99000000,10000,100
train,chr1,99000000,100000000,10000,100
train,chr1,100000000,101000000,10000,100
train,chr1,101000000,102000000,10000,100
train,chr1,102000000,103000000,10000,100
train,chr1,103000000,104000000,10000,100
train,chr1,104000000,105000000,10000,100
train,chr1,105000000,106000000,10000,100
train,chr1,106000000,107000000,10000,100
train,chr1,107000000,108000000,10000,100
train,chr1,108000000,109000000,10000,100
train,chr1,109000000,110000000,10000,100
train,chr1,110000000,111000000,10000,100
train,chr1,111000000,112000000,10000,100
train,chr1,112000000,113000000,10000,100
train,chr1,113000000,114000000,10000,100
train,chr1,114000000,115000000,10000,100
train,chr1,115000000,116000000,10000,100
train,chr1,116000000,117000000,10000,100
train,chr1,117000000,118000000,10000,100
train,chr1,118000000,119000000,10000,100
train,chr1,119000000,120000000,10000,100
train,chr1,120000000,121000000,10000,100
train,chr1,121000000,122000000,10000,100
train,chr1,122000000,123000000,10000,100
train,chr1,123000000,124000000,10000,100
train,chr1,124000000,125000000,10000,100
train,chr1,125000000,126000000,10000,100
train,chr1,126000000,127000000,10000,100
train,chr1,127000000,128000000,10000,100
train,chr1,128000000,129000000,10000,100
train,chr1,129000000,130000000,10000,100
train,chr1,130000000,131000000,10000,100
train,chr1,131000000,132000000,10000,100
train,chr1,132000000,133000000,10000,100
train,chr1,133000000,134000000,10000,100
train,chr1,134000000,135000000,10000,100
train,chr1,135000000,136000000,10000,100
train,chr1,136000000,137000000,10000,100
train,chr1,137000000,138000000,10000,100
train,chr1,138000000,139000000,10000,100
train,chr1,139000000,140000000,10000,100
train,chr1,140000000,141000000,10000,100
train,chr1,141000000,142000000,10000,100
train,chr1,142000000,143000000,10000,100
train,chr1,143000000,144000000,10000,100
train,chr1,144000000,145000000,10000,100
train,chr1,145000000,146000000,10000,100
train,chr1,146000000,147000000,10000,100
train,chr1,147000000,148000000,10000,100
train,chr1,148000000,149000000,10000,100
train,chr1,149000000,150000000,10000,100
train,chr1,150000000,151000000,10000,100
train,chr1,151000000,152000000,10000,100
train,chr1,152000000,153000000,10000,100
train,chr1,153000000,154000000,10000,100
train,chr1,154000000,155000000,10000,100
train,chr1,155000000,156000000,10000,100
train,chr1,156000000,157000000,10000,100
train,chr1,157000000,158000000,10000,100
train,chr1,158000000,159000000,10000,100
train,chr1,159000000,160000000,10000,100
train,chr1,160000000,161000000,10000,100
train,chr1,161000000,162000000,10000,100
train,chr1,162000000,163000000,10000,100
train,chr1,163000000,164000000,10000,100
train,chr1,164000000,165000000,10000,100
train,chr1,165000000,166000000,10000,100
train,chr1,166000000,167000000,10000,100
train,chr1,167000000,168000000,10000,100
train,chr1,168000000,169000000,10000,100
train,chr1,169000000,170000000,10000,100
train,chr1,170000000,171000000,10000,100
train,chr1,171000000,172000000,10000,100
train,chr1,172000000,173000000,10000,100
train,chr1,173000000,174000000,10000,100
train,chr1,174000000,175000000,10000,100
train,chr1,175000000,176000000,10000,100
train,chr1,176000000,177000000,10000,100
train,chr1,177000000,178000000,10000,100
train,chr1,178000000,179000000,10000,100
train,chr1,179000000,180000000,10000,100
train,chr1,180000000,181000000,10000,100
train,chr1,181000000,182000000,10000,100
train,chr1,182000000,183000000,10000,100
train,chr1,183000000,184000000,10000,100
train,chr1,184000000,185000000,10000,100
train,chr1,185000000,186000000,10000,100
train,chr1,186000000,187000000,10000,100
train,chr1,187000000,188000000,10000,100
train,chr1,188000000,189000000,10000,100
train,chr1,189000000,190000000,10000,100
train,chr1,190000000,191000000,10000,100
train,chr1,191000000,192000000,10000,100
train,chr1,192000000,193000000,10000,100
train,chr1,193000000,194000000,10000,100
train,chr1,194000000,195000000,10000,100
train,chr1,195000000,196000000,10000,100
train,chr1,196000000,197000000,10000,100
train,chr1,197000000,198000000,10000,100
train,chr1,198000000,199000000,10000,100
train,chr1,199000000,200000000,10000,100
train,chr1,200000000,201000000,10000,100
train,chr1,201000000,202000000,10000,100
train,chr1,202000000,203000000,10000,100
train,chr1,203000000,204000000,10000,100
train,chr1,204000000,205000000,10000,100
train,chr1,205000000,206000000,10000,100
train,chr1,206000000,207000000,10000,100
train,chr1,207000000,208000000,10000,100
train,chr1,208000000,209000000,10000,100
train,chr1,209000000,210000000,10000,100
train,chr1,210000000,211000000,10000,100
train,chr1,211000000,212000000,10000,100
train,chr1,212000000,213000000,10000,100
train,chr1,213000000,214000000,10000,100
train,chr1,214000000,215000000,10000,100
train,chr1,215000000,216000000,10000,100
train,chr1,216000000,217000000,10000,100
train,chr1,217000000,218000000,10000,100
train,chr1,218000000,219000000,10000,100
train,chr1,219000000,220000000,10000,100
train,chr1,220000000,221000000,10000,100
train,chr1,221000000,222000000,10000,100
train,chr1,222000000,223000000,10000,100
train,chr1,223000000,224000000,10000,100
train,chr1,224000000,225000000,10000,100
train,chr1,225000000,226000000,10000,100
train,chr1,226000000,227000000,10000,100
train,chr1,227000000,228000000,10000,100
train,chr1,228000000,229000000,10000,100
train,chr1,229000000,230000000,10000,100
train,chr1,230000000,231000000,10000,100
train,chr1,231000000,232000000,10000,100
train,chr1,232000000,233000000,10000,100
train,chr1,233000000,234000000,10000,100
train,chr1,234000000,235000000,10000,100
train,chr1,235000000,236000000,10000,100
train,chr1,236000000,237000000,10000,100
train,chr1,237000000,238000000,10000,100
train,chr1,238000000,239000000,10000,100
train,chr1,239000000,240000000,10000,100
train,chr1,240000000,241000000,10000,100
train,chr1,241000000,242000000,10000,100
train,chr1,242000000,243000000,10000,100
train,chr1,243000000,244000000,10000,100
train,chr1,244000000,245000000,10000,100
train,chr1,245000000,246000000,10000,100
train,chr1,246000000,247000000,10000,100
train,chr1,247000000,248000000,10000,100
train,chr2,0,1000000,10000,100
train,chr2,1000000,2000000,10000,100
train,chr2,2000000,3000000,10000,100
train,chr2,3000000,4000000,10000,100
train,chr2,4000000,5000000,10000,100
train,chr2,5000000,6000000,10000,100
train,chr2,6000000,7000000,10000,100
train,chr2,7000000,8000000,10000,100
train,chr2,8000000,9000000,10000,100
train,chr2,9000000,10000000,10000,100
train,chr2,10000000,11000000,10000,100
train,chr2,11000000,12000000,10000,100
train,chr2,12000000,13000000,10000,100
train,chr2,13000000,14000000,10000,100
train,chr2,14000000,15000000,10000,100
train,chr2,15000000,16000000,10000,100
train,chr2,16000000,17000000,10000,100
train,chr2,17000000,18000000,10000,100
train,chr2,18000000,19000000,10000,100
train,chr2,19000000,20000000,10000,100
train,chr2,20000000,21000000,10000,100
train,chr2,21000000,22000000,10000,100
train,chr2,22000000,23000000,10000,100
train,chr2,23000000,24000000,10000,100
train,chr2,24000000,25000000,10000,100
train,chr2,25000000,26000000,10000,100
train,chr2,26000000,27000000,10000,100
train,chr2,27000000,28000000,10000,100
train,chr2,28000000,29000000,10000,100
train,chr2,29000000,30000000,10000,100
train,chr2,30000000,31000000,10000,100
train,chr2,31000000,32000000,10000,100
train,chr2,32000000,33000000,10000,100
train,chr2,33000000,34000000,10000,100
train,chr2,34000000,35000000,10000,100
train,chr2,35000000,36000000,10000,100
train,chr2,36000000,37000000,10000,100
train,chr2,37000000,38000000,10000,100
train,chr2,38000000,39000000,10000,100
train,chr2,39000000,40000000,10000,100
train,chr2,40000000,41000000,10000,100
train,chr2,41000000,42000000,10000,100
train,chr2,42000000,43000000,10000,100
train,chr2,43000000,44000000,10000,100
train,chr2,44000000,45000000,10000,100
train,chr2,45000000,46000000,10000,100
train,chr2,46000000,47000000,10000,100
train,chr2,47000000,48000000,10000,100
train,chr2,48000000,49000000,10000,100
train,chr2,49000000,50000000,10000,100
train,chr2,50000000,51000000,10000,100
train,chr2,51000000,52000000,10000,100
train,chr2,52000000,53000000,10000,100
train,chr2,53000000,54000000,10000,100
train,chr2,54000000,55000000,10000,100
train,chr2,55000000,56000000,10000,100
train,chr2,56000000,57000000,10000,100
train,chr2,57000000,58000000,10000,100
train,chr2,58000000,59000000,10000,100
train,chr2,59000000,60000000,10000,100
train,chr2,60000000,61000000,10000,100
train,chr2,61000000,62000000,10000,100
train,chr2,62000000,63000000,10000,100
train,chr2,63000000,64000000,10000,100
train,chr2,64000000,65000000,10000,100
train,chr2,65000000,66000000,10000,100
train,chr2,66000000,67000000,10000,100
train,chr2,67000000,68000000,10000,100
train,chr2,68000000,69000000,10000,100
train,chr2,69000000,70000000,10000,100
train,chr2,70000000,71000000,10000,100
train,chr2,71000000,72000000,10000,100
train,chr2,72000000,73000000,10000,100
train,chr2,73000000,74000000,10000,100
train,chr2,74000000,75000000,10000,100
train,chr2,75000000,76000000,10000,100
train,chr2,76000000,77000000,10000,100
train,chr2,77000000,78000000,10000,100
train,chr2,78000000,79000000,10000,100
train,chr2,79000000,80000000,10000,100
train,chr2,80000000,81000000,10000,100
train,chr2,81000000,82000000,10000,100
train,chr2,82000000,83000000,10000,100
train,chr2,83000000,84000000,10000,100
train,chr2,84000000,85000000,10000,100
train,chr2,85000000,86000000,10000,100
train,chr2,86000000,87000000,10000,100
train,chr2,87000000,88000000,10000,100
train,chr2,88000000,89000000,10000,100
train,chr2,89000000,90000000,10000,100
train,chr2,90000000,91000000,10000,100
train,chr2,91000000,92000000,10000,100
train,chr2,92000000,93000000,10000,100
train,chr2,93000000,94000000,10000,100
train,chr2,94000000,95000000,10000,100
train,chr2,95000000,96000000,10000,100
train,chr2,96000000,97000000,10000,100
train,chr2,97000000,98000000,10000,100
train,chr2,98000000,99000000,10000,100
train,chr2,99000000,100000000,10000,100
train,chr2,100000000,101000000,10000,100
train,chr2,101000000,102000000,10000,100
train,chr2,102000000,103000000,10000,100
train,chr2,103000000,104000000,10000,100
train,chr2,104000000,105000000,10000,100
train,chr2,105000000,106000000,10000,100
train,chr2,106000000,107000000,10000,100
train,chr2,107000000,108000000,10000,100
train,chr2,108000000,109000000,10000,100
train,chr2,109000000,110000000,10000,100
train,chr2,110000000,111000000,10000,100
train,chr2,111000000,112000000,10000,100
train,chr2,112000000,113000000,10000,100
train,chr2,113000000,114000000,10000,100
train,chr2,114000000,115000000,10000,100
train,chr2,115000000,116000000,10000,100
train,chr2,116000000,117000000,10000,100
train,chr2,117000000,118000000,10000,100
train,chr2,118000000,119000000,10000,100
train,chr2,119000000,120000000,10000,100
train,chr2,120000000,121000000,10000,100
train,chr2,121000000,122000000,10000,100
train,chr2,122000000,123000000,10000,100
train,chr2,123000000,124000000,10000,100
train,chr2,124000000,125000000,10000,100
train,chr2,125000000,126000000,10000,100
train,chr2,126000000,127000000,10000,100
train,chr2,127000000,128000000,10000,100
train,chr2,128000000,129000000,10000,100
train,chr2,129000000,130000000,10000,100
train,chr2,130000000,131000000,10000,100
train,chr2,131000000,132000000,10000,100
train,chr2,132000000,133000000,10000,100
train,chr2,133000000,134000000,10000,100
train,chr2,134000000,135000000,10000,100
train,chr2,135000000,136000000,10000,100
train,chr2,136000000,137000000,10000,100
train,chr2,137000000,138000000,10000,100
train,chr2,138000000,139000000,10000,100
train,chr2,139000000,140000000,10000,100
train,chr2,140000000,141000000,10000,100
train,chr2,141000000,142000000,10000,100
